contract,family,freeze_time,max_raw_activity,mean_active_tpo,mean_active_volume,median_raw_activity,positive_tpo_ticks,positive_volume_ticks,profile_id,session_date,source_date,year
NQM9,opening_hour_rth,2019-03-18T10:30:00-04:00,2.839826647838316820407266597735613980489,5.75,513.2560975609756097560975607,0.8136199992405584297514174005,164,164,1f10a00ab4eedb8db9a4,2019-03-18,2019-03-18,2019
NQM9,midnight,2019-06-04T09:30:00-04:00,2.688519211648899403975393348251397783661,14.41896024464831804281345566,274.397553516819571865443425,0.8400852733931447833858327464590229677142,327,327,1f438895fd987e637d2e,2019-06-04,2019-06-04,2019
NQM9,opening_hour_rth,2019-06-03T10:30:00-04:00,3.02901411226363139868623657124485279822,5.09375,351.0192307692307692307692272,0.7648734270545247023138541285,416,416,1ff6e46a3b2a11278db3,2019-06-03,2019-06-03,2019
NQZ9,midnight,2019-10-14T09:30:00-04:00,2.700339602883124285967830368789003925066,17.05696202531645569620253165,268.0759493670886075949367091,0.9289288294336504480733565285,316,316,2024a9ef99e83a80964c,2019-10-14,2019-10-14,2019
NQZ9,midnight,2019-12-09T09:30:00-05:00,2.318517094071558150417080555384843202201,36.41269841269841269841269841,570.9841269841269841269841268,1.012858066428973737927927716461950053138,63,63,206aa8d2ac65ba2a2c1b,2019-12-09,2019-12-09,2019
NQH9,midnight,2019-02-12T09:30:00-05:00,2.694093533959011037611972954193422582218,27.61739130434782608695652174,465.9391304347826086956521739,0.8440074405881650462455429177712681384295,115,115,206e58a4ed8e8f8d2313,2019-02-12,2019-02-12,2019
NQU9,full_overnight,2019-08-27T09:30:00-04:00,2.567849033830031436520095061144356872561,26.63753213367609254498714653,352.0257069408740359897172247,0.9619285627500885177441066872955932340193,389,389,209bc4e48ac80dd3cd13,2019-08-27,2019-08-27,2019
NQM9,midnight,2019-03-19T09:30:00-04:00,2.878457571326231393717259256456597679144,16.24285714285714285714285714,284.0071428571428571428571427,0.8026095727972221223741965065,140,140,213c3057b52eb820df4a,2019-03-19,2019-03-19,2019
NQU9,midnight,2019-06-28T09:30:00-04:00,3.044469022222946540043507368918990364398,25.09677419354838709677419355,283.879032258064516129032258,0.639170763807102097170645406,124,124,219ad91463cfac229129,2019-06-28,2019-06-28,2019
NQZ9,midnight,2019-11-15T09:30:00-05:00,5.937083210391295167932994433075196426384,19.68794326241134751773049645,473.2836879432624113475177308,0.7455585895582760064454408343639722905833,141,141,2266baf14bfc321afd0d,2019-11-15,2019-11-15,2019
NQZ9,prior_rth,2019-10-25T16:00:00-04:00,5.450691156543659268678840500149351382886,10.36748329621380846325167038,605.7104677060133630289532312,0.6528055977211521436166110764266020617834,449,449,2271305e6229c0c20e1d,2019-10-28,2019-10-25,2019
NQH9,opening_hour_rth,2019-03-07T10:30:00-05:00,2.911351021633089516121271176835962222879,5.32247557003257328990228013,453.1465798045602605863192195,0.7680296151737759371968238295232810046414,307,307,22f437d620e4605630f8,2019-03-07,2019-03-07,2019
NQM9,midnight,2019-04-18T09:30:00-04:00,3.377232986278685962487041635902087089506,13.23904382470119521912350598,279.1633466135458167330677298,0.8646678625203385318721503215831101113515,251,251,233c37db56abf136f7a9,2019-04-18,2019-04-18,2019
