bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_bin_count,volume_value_area_volume_share,year
0.1,true,NQZ9,prior_rth,true,d47b6816a96409541218,R02,2019-10-29,8115.625,8122.5,8097.5,100,0.7003488808817003876832483121,2019
0.1,true,NQM9,full_overnight,true,d491dd12d73a9bec2707,R03,2019-04-02,7493.875,7502,7486.25,63,0.7073844277745186616738132857,2019
0.2,true,NQZ9,prior_rth,true,d4a8299c1cb2be278006,R01,2019-09-18,7885.75,7890.5,7875,31,0.7024675269231449531210369207,2019
0.2,true,NQZ9,prior_rth,true,d4a8299c1cb2be278006,R02,2019-09-18,7885.75,7890.5,7875,31,0.7024675269231449531210369207,2019
0.2,true,NQM9,midnight,true,d4b0846a469bce30415d,R04,2019-04-24,7836.375,7847,7824.25,91,0.7047473607286176194665720577,2019
0.05,true,NQU9,prior_rth,true,d4b2bdc92807c6007df7,R01,2019-06-26,7687.125,7731,7637,376,0.7015182587246025567411635133,2019
0.05,true,NQU9,prior_rth,true,d4b2bdc92807c6007df7,R02,2019-06-26,7687.125,7731,7637,376,0.7015182587246025567411635133,2019
0.05,true,NQZ9,full_overnight,true,d4c051546e4e68480940,R03,2019-09-30,7733.875,7745.5,7723.25,89,0.704962064515401339472085529,2019
0.1,true,NQM9,opening_hour_rth,true,d4cc38ed00c44a854d3a,R05,2019-03-19,7386.375,7394.75,7382.5,49,0.7085102724327361213309719616,2019
0.05,true,NQU9,full_overnight,true,d4fe4cbe7f26b8230cb5,R03,2019-07-02,7778.375,7791.75,7773.25,74,0.7063826958777574554524270263,2019
0.05,true,NQU9,opening_hour_rth,true,d5105a2b6395f92514ec,R05,2019-06-17,7564.125,7571.75,7541.5,121,0.7002804876281038456520793774,2019
0.1,true,NQH0,opening_hour_rth,true,d52a19f6c41d201515ae,R05,2019-12-26,8760.625,8764.75,8750.75,56,0.7019403762635760692067066776,2019
0.05,true,NQH9,midnight,true,d54e39acc5ab6eea92e9,R04,2019-01-17,6656.875,6666,6634.25,127,0.7040014314089003760912347243,2019
0.05,true,NQZ9,full_overnight,true,d54e5e6f58e6a6974d26,R03,2019-10-01,7799.375,7812.25,7788,97,0.70212795504283051760207003,2019
