population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,R05,extreme,30,C02_ACTIVITY_MATCHED,41,33,58.54,60.61,-2.07,2/4,False,False,50.00,71.43,54.55,50.00
NONPOC,R05,extreme,60,C01_NEUTRAL,41,41,65.85,63.41,2.44,1/4,False,False,50.00,78.57,72.73,50.00
NONPOC,R05,extreme,60,C02_ACTIVITY_MATCHED,41,33,65.85,57.58,8.27,3/4,True,False,50.00,78.57,72.73,50.00
NONPOC,R01,undefined,15,C01_NEUTRAL,2,2,0.00,0.00,0.00,0/4,False,True,,,,0.00
NONPOC,R01,undefined,15,C02_ACTIVITY_MATCHED,2,3,0.00,66.67,-66.67,1/4,False,True,,,,0.00
NONPOC,R01,undefined,30,C01_NEUTRAL,2,2,50.00,0.00,50.00,1/4,False,True,,,,50.00
NONPOC,R01,undefined,30,C02_ACTIVITY_MATCHED,2,3,50.00,66.67,-16.67,0/4,False,True,,,,50.00
NONPOC,R01,undefined,60,C01_NEUTRAL,2,2,50.00,50.00,0.00,0/4,False,True,,,,50.00
NONPOC,R01,undefined,60,C02_ACTIVITY_MATCHED,2,3,50.00,100.00,-50.00,1/4,False,True,,,,50.00
NONPOC,R02,undefined,15,C01_NEUTRAL,3,3,33.33,33.33,0.00,0/4,False,True,,,50.00,0.00
NONPOC,R02,undefined,15,C02_ACTIVITY_MATCHED,3,3,33.33,66.67,-33.34,1/4,False,True,,,50.00,0.00
NONPOC,R02,undefined,30,C01_NEUTRAL,3,3,66.67,100.00,-33.33,1/4,False,True,,,100.00,0.00
NONPOC,R02,undefined,30,C02_ACTIVITY_MATCHED,3,3,66.67,33.33,33.34,1/4,False,True,,,100.00,0.00
NONPOC,R02,undefined,60,C01_NEUTRAL,3,3,66.67,100.00,-33.33,1/4,False,True,,,100.00,0.00
NONPOC,R02,undefined,60,C02_ACTIVITY_MATCHED,3,3,66.67,33.33,33.34,1/4,False,True,,,100.00,0.00
NONPOC,R03,undefined,15,C01_NEUTRAL,6,6,83.33,83.33,0.00,0/4,False,True,0.00,100.00,100.00,100.00
NONPOC,R03,undefined,15,C02_ACTIVITY_MATCHED,6,7,83.33,57.14,26.19,1/4,False,True,0.00,100.00,100.00,100.00
NONPOC,R03,undefined,30,C01_NEUTRAL,6,6,66.67,83.33,-16.66,1/4,False,True,100.00,33.33,100.00,100.00
NONPOC,R03,undefined,30,C02_ACTIVITY_MATCHED,6,7,66.67,42.86,23.81,2/4,False,True,100.00,33.33,100.00,100.00
NONPOC,R03,undefined,60,C01_NEUTRAL,5,5,60.00,60.00,0.00,0/4,False,True,100.00,33.33,100.00,
NONPOC,R03,undefined,60,C02_ACTIVITY_MATCHED,5,7,60.00,57.14,2.86,0/4,False,True,100.00,33.33,100.00,
NONPOC,R05,undefined,15,C01_NEUTRAL,9,9,33.33,44.44,-11.11,1/4,False,True,33.33,33.33,0.00,50.00
NONPOC,R05,undefined,15,C02_ACTIVITY_MATCHED,9,8,33.33,25.00,8.33,1/4,False,True,33.33,33.33,0.00,50.00
NONPOC,R05,undefined,30,C01_NEUTRAL,9,9,22.22,66.67,-44.45,3/4,False,True,33.33,0.00,100.00,0.00
NONPOC,R05,undefined,30,C02_ACTIVITY_MATCHED,9,8,22.22,50.00,-27.78,2/4,False,True,33.33,0.00,100.00,0.00
NONPOC,R05,undefined,60,C01_NEUTRAL,9,9,55.56,55.56,0.00,0/4,False,True,33.33,66.67,100.00,50.00
NONPOC,R05,undefined,60,C02_ACTIVITY_MATCHED,9,8,55.56,75.00,-19.44,1/4,False,True,33.33,66.67,100.00,50.00
POC,R01,below_normal,15,C01_NEUTRAL,234,226,48.29,47.79,0.50,2/4,False,False,49.25,49.18,52.63,40.82
POC,R01,below_normal,15,C02_ACTIVITY_MATCHED,234,159,48.29,49.06,-0.77,2/4,False,False,49.25,49.18,52.63,40.82
POC,R01,below_normal,30,C01_NEUTRAL,233,226,44.64,47.35,-2.71,3/4,True,False,43.28,42.62,45.61,47.92
POC,R01,below_normal,30,C02_ACTIVITY_MATCHED,233,157,44.64,48.41,-3.77,4/4,True,False,43.28,42.62,45.61,47.92
POC,R01,below_normal,60,C01_NEUTRAL,230,221,45.65,50.68,-5.03,3/4,True,False,46.27,51.67,48.21,34.04
POC,R01,below_normal,60,C02_ACTIVITY_MATCHED,230,154,45.65,50.65,-5.00,4/4,True,False,46.27,51.67,48.21,34.04
POC,R02,below_normal,15,C01_NEUTRAL,278,266,50.00,48.50,1.50,2/4,False,False,47.76,46.25,50.70,56.67
POC,R02,below_normal,15,C02_ACTIVITY_MATCHED,278,202,50.00,50.50,-0.50,2/4,False,False,47.76,46.25,50.70,56.67
POC,R02,below_normal,30,C01_NEUTRAL,277,266,50.18,49.25,0.93,3/4,True,False,50.75,46.25,50.00,55.00
POC,R02,below_normal,30,C02_ACTIVITY_MATCHED,277,201,50.18,50.75,-0.57,2/4,False,False,50.75,46.25,50.00,55.00
POC,R02,below_normal,60,C01_NEUTRAL,273,265,49.45,49.06,0.39,2/4,False,False,46.27,48.72,46.38,57.63
POC,R02,below_normal,60,C02_ACTIVITY_MATCHED,273,197,49.45,47.72,1.73,2/4,False,False,46.27,48.72,46.38,57.63
POC,R03,below_normal,15,C01_NEUTRAL,422,412,55.21,53.88,1.33,2/4,False,False,61.54,52.80,55.66,52.00
