population,volume,displacement,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
POC,below_normal,gt_1.5,low,15,C02_ACTIVITY_MATCHED,1252,898,51.84,51.56,0.28,2/4,False,False,52.33,47.60,54.26,53.49
POC,below_normal,gt_1.5,low,30,C01_NEUTRAL,1247,1199,49.40,49.62,-0.22,2/4,False,False,51.84,45.95,51.75,48.33
POC,below_normal,gt_1.5,low,30,C02_ACTIVITY_MATCHED,1247,893,49.40,48.49,0.91,3/4,True,False,51.84,45.95,51.75,48.33
POC,below_normal,gt_1.5,low,60,C01_NEUTRAL,1239,1192,51.41,52.01,-0.60,2/4,False,False,52.68,50.61,52.72,49.66
POC,below_normal,gt_1.5,low,60,C02_ACTIVITY_MATCHED,1239,884,51.41,48.98,2.43,3/4,True,False,52.68,50.61,52.72,49.66
POC,below_normal,gt_1.5,medium,15,C01_NEUTRAL,463,486,51.84,47.74,4.10,3/4,True,False,49.57,57.46,56.78,40.62
POC,below_normal,gt_1.5,medium,15,C02_ACTIVITY_MATCHED,463,324,51.84,47.84,4.00,3/4,True,False,49.57,57.46,56.78,40.62
POC,below_normal,gt_1.5,medium,30,C01_NEUTRAL,463,485,49.24,49.90,-0.66,3/4,True,False,45.22,52.99,48.31,50.00
POC,below_normal,gt_1.5,medium,30,C02_ACTIVITY_MATCHED,463,324,49.24,45.68,3.56,2/4,False,False,45.22,52.99,48.31,50.00
POC,below_normal,gt_1.5,medium,60,C01_NEUTRAL,461,483,49.24,47.62,1.62,2/4,False,False,44.35,54.14,45.30,53.12
POC,below_normal,gt_1.5,medium,60,C02_ACTIVITY_MATCHED,461,323,49.24,48.61,0.63,2/4,False,False,44.35,54.14,45.30,53.12
POC,below_normal,gt_1.5,high,15,C01_NEUTRAL,62,54,59.68,62.96,-3.28,2/4,False,False,70.83,57.14,25.00,53.85
POC,below_normal,gt_1.5,high,15,C02_ACTIVITY_MATCHED,62,41,59.68,63.41,-3.73,3/4,True,False,70.83,57.14,25.00,53.85
POC,below_normal,gt_1.5,high,30,C01_NEUTRAL,62,54,56.45,59.26,-2.81,3/4,True,False,75.00,42.86,0.00,61.54
POC,below_normal,gt_1.5,high,30,C02_ACTIVITY_MATCHED,62,41,56.45,58.54,-2.09,3/4,True,False,75.00,42.86,0.00,61.54
POC,below_normal,gt_1.5,high,60,C01_NEUTRAL,62,53,51.61,54.72,-3.11,3/4,True,False,58.33,52.38,0.00,53.85
POC,below_normal,gt_1.5,high,60,C02_ACTIVITY_MATCHED,62,41,51.61,51.22,0.39,2/4,False,False,58.33,52.38,0.00,53.85
POC,normal,0.5_1.0,low,15,C01_NEUTRAL,2,1,0.00,100.00,-100.00,1/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,low,15,C02_ACTIVITY_MATCHED,2,1,0.00,100.00,-100.00,0/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,low,30,C01_NEUTRAL,2,1,0.00,100.00,-100.00,1/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,low,30,C02_ACTIVITY_MATCHED,2,1,0.00,100.00,-100.00,0/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,low,60,C01_NEUTRAL,2,1,50.00,100.00,-50.00,1/4,False,True,100.00,,0.00,
POC,normal,0.5_1.0,low,60,C02_ACTIVITY_MATCHED,2,1,50.00,100.00,-50.00,0/4,False,True,100.00,,0.00,
POC,normal,1.0_1.5,low,15,C01_NEUTRAL,3,2,0.00,50.00,-50.00,0/4,False,True,,0.00,,0.00
POC,normal,1.0_1.5,low,15,C02_ACTIVITY_MATCHED,3,2,0.00,50.00,-50.00,0/4,False,True,,0.00,,0.00
