relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R03,C01,uniform_bar_volume,0.1,1.5,2023,14,-0.06190476190476190476190476191,-0.08333333333333333333333333334,0.1449179802551118955560902165,0.1333333333333333333333333333,0.2142857142857142857142857143,-0.1333333333333333333333333333,0.0142857142857142857142857143
R03,C01,uniform_bar_volume,0.1,1.5,2025,9,0.03703703703703703703703703703,0.03333333333333333333333333333,0.1241017105760482036712858413,0.1999999999999999999999999999,0.5555555555555555555555555556,-0.04583333333333333333333333334,0.1083333333333333333333333333
R03,C01,uniform_bar_volume,0.1,1.5,2026,1,-0.2,-0.2,,0,0,-0.2,-0.2
R03,C01,uniform_bar_volume,0.1,2,2019,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C01,uniform_bar_volume,0.1,2,2025,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C01,uniform_bar_volume,0.2,1.5,2019,7,0.0857142857142857142857142857,0.03333333333333333333333333333,0.1619981056783882377081904297,0.1333333333333333333333333333,0.7142857142857142857142857143,-0.01111111111111111111111111112,0.2333333333333333333333333333
R03,C01,uniform_bar_volume,0.2,1.5,2023,4,-0.1166666666666666666666666667,-0.06666666666666666666666666667,0.1732050807568877293527446342,0.1,0.25,-0.2916666666666666666666666667,0.00833333333333333333333333333
R03,C01,uniform_bar_volume,0.2,1.5,2025,4,0.15,0.15,0.1170628194761415427600156074,0.1833333333333333333333333334,1,0.06666666666666666666666666667,0.2333333333333333333333333334
R03,C01,uniform_bar_volume,0.2,1.5,2026,1,-0.1666666666666666666666666666,-0.1666666666666666666666666666,,0,0,-0.1666666666666666666666666666,-0.1666666666666666666666666666
R03,C02,tpo_range_occupancy,0.05,1.5,2019,4,0.05833333333333333333333333332,0.01666666666666666666666666667,0.09574271077563381099751019115,0.07500000000000000000000000002,0.5,0,0.15
R03,C02,tpo_range_occupancy,0.05,1.5,2021,1,0,0,,0,0,0,0
R03,C02,tpo_range_occupancy,0.05,1.5,2023,3,0.07777777777777777777777777777,0.1333333333333333333333333333,0.1575271875417536133661735394,0.15,0.6666666666666666666666666667,-0.1,0.2
R03,C02,tpo_range_occupancy,0.05,1.5,2025,4,0.06666666666666666666666666665,0.03333333333333333333333333332,0.1186342028003479023423502663,0.1166666666666666666666666666,0.5,-0.01666666666666666666666666667,0.175
R03,C02,tpo_range_occupancy,0.05,2,2025,1,-0.2,-0.2,,0,0,-0.2,-0.2
R03,C02,tpo_range_occupancy,0.1,1.5,2019,4,0.05833333333333333333333333332,0.01666666666666666666666666667,0.09574271077563381099751019115,0.07500000000000000000000000002,0.5,0,0.15
R03,C02,tpo_range_occupancy,0.1,1.5,2021,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C02,tpo_range_occupancy,0.1,1.5,2023,4,0.075,0.1,0.1287403358472940836924449894,0.125,0.75,-0.04166666666666666666666666668,0.1666666666666666666666666667
R03,C02,tpo_range_occupancy,0.1,1.5,2025,4,0.03333333333333333333333333335,0,0.09026709338484400400510981747,0.05000000000000000000000000001,0.25,-0.025,0.125
R03,C02,tpo_range_occupancy,0.1,2,2025,1,-0.1,-0.1,,0,0,-0.1,-0.1
R03,C02,tpo_range_occupancy,0.2,1.5,2019,1,0.03333333333333333333333333334,0.03333333333333333333333333334,,0,1,0.03333333333333333333333333334,0.03333333333333333333333333334
R03,C02,tpo_range_occupancy,0.2,1.5,2023,2,-0.05,-0.05,0.02357022603955158414669481208,0.01666666666666666666666666667,0,-0.06666666666666666666666666667,-0.03333333333333333333333333333
R03,C02,uniform_bar_volume,0.05,1.5,2019,7,0.02857142857142857142857142859,0,0.1268252974948455804176532211,0.09999999999999999999999999998,0.4285714285714285714285714286,-0.04761904761904761904761904761,0.1190476190476190476190476191
R03,C02,uniform_bar_volume,0.05,1.5,2021,2,-0.01666666666666666666666666665,-0.01666666666666666666666666665,0.02357022603955158414669481205,0.01666666666666666666666666666,0,-0.0333333333333333333333333333,0
R03,C02,uniform_bar_volume,0.05,1.5,2023,5,0.000000000000000000000000000006,-0.06666666666666666666666666667,0.2054804667656325483416730793,0.2,0.4,-0.1466666666666666666666666667,0.18
